tokenizer,display_name,vocab_size,lang,fertility,cpt,compression_ratio,strr,nsl,parity
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,ja,43.43549589858315,1.4081757376158626,4.055223576545683,0.16778523489932887,0.7101386377335744,4.217814692825433
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,ar,2.575744434807748,2.6227222697810935,4.744955362602421,0.2209453599306158,0.38128322297864403,2.3419733638837177
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,hi,4.49415123883209,1.0921972831459852,2.7763538500970304,0.03850050658561297,0.915585504039693,3.9110697407990833
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,de,2.294390073400909,3.465814532040834,3.5299390923908383,0.3461202376791332,0.2885324620677706,1.66933982528999
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,tr,2.970036613614287,2.910802662267478,3.2123556516297858,0.14361503399835612,0.3435478512380543,2.5173993985393097
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,ko,3.1130505709624794,1.4254119797882334,3.3192494223395883,0.0799347471451876,0.7015515613588186,2.8199198052413004
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,th,15.110736368746487,1.8255946853346667,5.230587899135653,0.1225407532321529,0.5477667129693033,2.0047257625662325
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,ru,3.0961287678378477,2.623896131202691,4.744309819175778,0.19620701218376244,0.38111264699401004,5.448661033939567
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,fr,2.061056543668702,3.693923210161663,3.828810623556582,0.43243960711441465,0.27071488580192643,0.9921237290562795
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,es,1.9865403251857434,3.508285609845254,3.57627634945778,0.44621513944223107,0.2850395068160111,1.1752828297293427
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,pt,2.1314205738278518,3.503144177589211,3.614781422835063,0.3778166550034989,0.28545784852286,1.8901618215666618
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,vi,2.1038688312737257,3.370783943194182,4.3532611807822255,0.12826104514982634,0.2966668931774939,1.250393813547186
Qwen/Qwen2.5-7B,Qwen2.5-7B,151665,id,2.52831678700361,3.3968134676085975,3.399519013978656,0.1641471119133574,0.2943935572370459,1.4291135615065158
Qwen/Qwen2.5-14B,Qwen2.5-14B,151665,en,1.566638330027392,5.093870829156523,5.098095374480883,0.635590818928875,0.19631436161988164,1.0
